Wavelength	WH1059F00000.asd
350	 0.078900493967361 
351	 8.61228653134556E-02 
352	 6.36710596554102E-02 
353	 6.05676782545712E-02 
354	 7.00268059287569E-02 
355	 6.99926842343638E-02 
356	 5.04451840884758E-02 
357	 6.17152200023841E-02 
358	 0.086403723429165 
359	 7.90590039823226E-02 
360	 8.31574794136034E-02 
361	 7.99776089372751E-02 
362	 6.96360620058817E-02 
363	 7.70458853087499E-02 
364	 7.44326642314141E-02 
365	 7.12793678148195E-02 
366	 7.56013559094571E-02 
367	 8.12917571762265E-02 
368	 7.92705571527424E-02 
369	 7.53564672365142E-02 
370	 7.64614667441007E-02 
371	 7.19352355392956E-02 
372	 7.31986357913432E-02 
373	 7.85763765767411E-02 
374	 7.87291819330938E-02 
375	 7.75679881123188E-02 
376	 7.34380556882241E-02 
377	 6.87534683335165E-02 
378	 7.13076341363138E-02 
379	 7.65823876029733E-02 
380	 8.01282226628347E-02 
381	 7.92905111831308E-02 
382	 7.40017927273186E-02 
383	 7.86278007386426E-02 
384	 0.08565779309419 
385	 8.27666707332461E-02 
386	 8.30145068565345E-02 
387	 8.25983963320868E-02 
388	 8.13261543076886E-02 
389	 8.26107244403074E-02 
390	 8.29026193412655E-02 
391	 8.34792164013767E-02 
392	 0.085412850466267 
393	 8.83198912239636E-02 
394	 8.81330654746355E-02 
395	 8.74757048989058E-02 
396	 8.93336937484713E-02 
397	 8.99216150282543E-02 
398	 9.00770350339459E-02 
399	 8.96596517749025E-02 
400	 8.82113210750973E-02 
401	 8.76081536641777E-02 
402	 8.91593921731546E-02 
403	 9.15733811247533E-02 
404	 9.06871102105574E-02 
405	 9.09574321852551E-02 
406	 0.090545993195214 
407	 0.088258233554875 
408	 8.83185151472176E-02 
409	 8.91873336235632E-02 
410	 9.11557681671473E-02 
411	 9.44032296232068E-02 
412	 9.43895216690422E-02 
413	 9.28531768655886E-02 
414	 0.091538581412526 
415	 0.091600564337311 
416	 9.29254502736217E-02 
417	 9.42474184854238E-02 
418	 9.48131946090043E-02 
419	 0.095280962270609 
420	 9.53820965392482E-02 
421	 9.57141920710236E-02 
422	 9.66771730947822E-02 
423	 9.65336123386396E-02 
424	 9.67313503297966E-02 
425	 9.68422653347945E-02 
426	 9.53343180866572E-02 
427	 9.67333208398341E-02 
428	 9.78253787052293E-02 
429	 9.73331212443188E-02 
430	 0.099145702858678 
431	 0.100276911552194 
432	 0.10029515350308 
433	 9.98701667160561E-02 
434	 0.100883978428422 
435	 0.101163082695814 
436	 0.100924318022121 
437	 0.10178835489197 
438	 0.102369995878189 
439	 0.102509701223997 
440	 0.102607218908324 
441	 0.103689348799834 
442	 0.103850424152093 
443	 0.103776361370739 
444	 0.104443519203105 
445	 0.105351335001674 
446	 0.106018160707372 
447	 0.106289446526385 
448	 0.106298056962364 
449	 0.106635373472895 
450	 0.107153976077511 
451	 0.107755257304113 
452	 0.108580431027362 
453	 0.108810380462898 
454	 0.108949018686938 
455	 0.109509864284299 
456	 0.109747184178012 
457	 0.109854874576809 
458	 0.110140933945574 
459	 0.110873981353301 
460	 0.111387259825518 
461	 0.111829643984673 
462	 0.112139381099748 
463	 0.111763465819247 
464	 0.111716011462658 
465	 0.112483613458305 
466	 0.113874514154867 
467	 0.113986702643999 
468	 0.11417444539398 
469	 0.114647077253694 
470	 0.114840830131771 
471	 0.114788375184776 
472	 0.114875367136375 
473	 0.115312087654595 
474	 0.115966155322393 
475	 0.116668127250037 
476	 0.117064866247339 
477	 0.117026822063134 
478	 0.117398325273541 
479	 0.117882758108228 
480	 0.118246865006894 
481	 0.118366357713977 
482	 0.118580605332156 
483	 0.118915715363783 
484	 0.119287634164188 
485	 0.119490840393659 
486	 0.119985364073451 
487	 0.120570139156013 
488	 0.120924912770503 
489	 0.121187267597199 
490	 0.121761013216252 
491	 0.122297691362616 
492	 0.121985700664259 
493	 0.122513158933029 
494	 0.12336447057239 
495	 0.123805659400048 
496	 0.123260226696714 
497	 0.123903131286044 
498	 0.12492645804869 
499	 0.124924070910338 
500	 0.125463851126036 
501	 0.125888126300676 
502	 0.126117789160573 
503	 0.126663630041559 
504	 0.126824015060238 
505	 0.127343668500697 
506	 0.128458245944777 
507	 0.1286035330119 
508	 0.128602586880959 
509	 0.128762931485052 
510	 0.129140684028653 
511	 0.129502896474454 
512	 0.129791437562943 
513	 0.130179230532592 
514	 0.131045240339117 
515	 0.13151128359188 
516	 0.131648996375771 
517	 0.131842895823155 
518	 0.132764978220166 
519	 0.133378125884118 
520	 0.133639154156875 
521	 0.133990684475299 
522	 0.134347783285903 
523	 0.134666417015849 
524	 0.135035037371627 
525	 0.135717701325339 
526	 0.136114253632381 
527	 0.13625090670665 
528	 0.136440519870467 
529	 0.137429905873689 
530	 0.137889102528584 
531	 0.13794709108987 
532	 0.138605275101439 
533	 0.139395265924874 
534	 0.13993349464633 
535	 0.14016102145347 
536	 0.140533654824408 
537	 0.140913095519955 
538	 0.141316318616371 
539	 0.14178536350691 
540	 0.142310617715033 
541	 0.142851619993213 
542	 0.143350310084625 
543	 0.143749383961486 
544	 0.144212917139998 
545	 0.144664978102414 
546	 0.145057237128971 
547	 0.145485411864306 
548	 0.145998761204793 
549	 0.146534870015983 
550	 0.147005285420556 
551	 0.147465217140306 
552	 0.147931879542997 
553	 0.148398857059858 
554	 0.148835723329666 
555	 0.149147301064751 
556	 0.149415852046306 
557	 0.149725611104838 
558	 0.150030473850327 
559	 0.150492394280854 
560	 0.151038918887911 
561	 0.151478763898105 
562	 0.151811808654214 
