Wavelength	WH1059X00001.asd
350	 0.17332291886862 
351	 0.17386351998461 
352	 0.145333933153761 
353	 0.139759877365925 
354	 0.15866903963887 
355	 0.180528451288802 
356	 0.171480549665553 
357	 0.160616485417379 
358	 0.162283669283296 
359	 0.17453364992859 
360	 0.173490865332125 
361	 0.167099171710662 
362	 0.164112779899272 
363	 0.170121939104636 
364	 0.168317294441956 
365	 0.166382817591798 
366	 0.170329668992158 
367	 0.176143860604867 
368	 0.169520053295051 
369	 0.161215381297074 
370	 0.164937611405721 
371	 0.17207613114851 
372	 0.178011715577913 
373	 0.179858125592663 
374	 0.176856502486631 
375	 0.175404812934181 
376	 0.171141269568685 
377	 0.165911296143093 
378	 0.17038163463393 
379	 0.17686287617111 
380	 0.179459140223088 
381	 0.176387747864932 
382	 0.174228960105717 
383	 0.172973990861882 
384	 0.174853815770013 
385	 0.18072860663783 
386	 0.180553420476362 
387	 0.179682238060302 
388	 0.179706920650696 
389	 0.178345514084268 
390	 0.17872326754781 
391	 0.180233612174701 
392	 0.181567185055646 
393	 0.181307989639356 
394	 0.180644025381148 
395	 0.180077668668861 
396	 0.180062800960019 
397	 0.181841978546667 
398	 0.182170148858784 
399	 0.182048658943294 
400	 0.184132151030584 
401	 0.180745808411496 
402	 0.180040181347375 
403	 0.183313058964417 
404	 0.181457750418783 
405	 0.180098111328376 
406	 0.180564693522834 
407	 0.182349581598729 
408	 0.18285348005536 
409	 0.183057558778668 
410	 0.182679022637579 
411	 0.181441694367957 
412	 0.182005180012263 
413	 0.183249096358076 
414	 0.184227346522465 
415	 0.18452837084371 
416	 0.184942264839583 
417	 0.185367093095596 
418	 0.185403234523428 
419	 0.18419434154368 
420	 0.183804063717746 
421	 0.184465509607289 
422	 0.18547642952734 
423	 0.185141839955259 
424	 0.185292268506698 
425	 0.18600125434413 
426	 0.185982925211437 
427	 0.18579937791718 
428	 0.186068493495781 
429	 0.187058753435165 
430	 0.188648555363955 
431	 0.187980678953006 
432	 0.187067223867103 
433	 0.188104849869301 
434	 0.188457409240649 
435	 0.187438720061239 
436	 0.186635973841951 
437	 0.18846504968599 
438	 0.188531280708052 
439	 0.18827734853756 
440	 0.188644291316657 
441	 0.188700959449238 
442	 0.189255786932246 
443	 0.189901897802614 
444	 0.190075061256684 
445	 0.189711319008815 
446	 0.190043847541675 
447	 0.190697097677921 
448	 0.190461831873379 
449	 0.190198234813619 
450	 0.19035006041962 
451	 0.190850904134486 
452	 0.190999145718282 
453	 0.190978324682172 
454	 0.191129648388495 
455	 0.191574866615726 
456	 0.19153911377009 
457	 0.191259754849378 
458	 0.191237239194853 
459	 0.191944799438462 
460	 0.192254302258873 
461	 0.192107969977979 
462	 0.191800062687563 
463	 0.191925953493494 
464	 0.192013609341274 
465	 0.192011765156468 
466	 0.191982412850069 
467	 0.191951183875789 
468	 0.192048622604883 
469	 0.192123202260503 
470	 0.191933143240293 
471	 0.192311557607944 
472	 0.192558620669591 
473	 0.192431952755882 
474	 0.192732451577294 
475	 0.192911197324144 
476	 0.192840144127195 
477	 0.192594394496861 
478	 0.192497291523965 
479	 0.192651153655542 
480	 0.192834431206552 
481	 0.192661626655207 
482	 0.192601864484113 
483	 0.192795489603632 
484	 0.19311791695883 
485	 0.193052990981846 
486	 0.193232590940151 
487	 0.193489873167148 
488	 0.193454494206522 
489	 0.192987894870718 
490	 0.193054149402055 
491	 0.19359940028458 
492	 0.193748793255157 
493	 0.193775968421055 
494	 0.193753790820503 
495	 0.193660925771832 
496	 0.193244442868081 
497	 0.193630245052315 
498	 0.194132701333791 
499	 0.193775816057255 
500	 0.193676580670722 
501	 0.193911166139485 
502	 0.19427747459802 
503	 0.194381680954774 
504	 0.194284930656636 
505	 0.19441926120065 
506	 0.194895186472853 
507	 0.194942680059603 
508	 0.194671410308998 
509	 0.194512922375709 
510	 0.194888985542984 
511	 0.195229051060317 
512	 0.195332568769994 
513	 0.195253207876898 
514	 0.195282073621806 
515	 0.195350627778453 
516	 0.195373864069616 
517	 0.195416299012354 
518	 0.196078041563625 
519	 0.196067519830074 
520	 0.19565519939443 
521	 0.195803942183437 
522	 0.196129762351709 
523	 0.196380580735355 
524	 0.196461327754095 
525	 0.196467626874994 
526	 0.196598142470195 
527	 0.196686023513998 
528	 0.19663167147603 
529	 0.196944777621663 
530	 0.196989259966044 
531	 0.196856778701979 
532	 0.197054007007314 
533	 0.197131577090871 
534	 0.197285426682346 
535	 0.197530377022874 
536	 0.197420859013598 
537	 0.197609139835159 
538	 0.197782563789774 
539	 0.197534335218683 
540	 0.197394080498925 
541	 0.197555031415237 
542	 0.197923086109246 
543	 0.198174111477749 
544	 0.198080373490152 
545	 0.198082815396978 
546	 0.198381691091242 
547	 0.198410250547162 
548	 0.198364594734868 
549	 0.198386157970695 
550	 0.198542122052795 
551	 0.198533603351496 
552	 0.19853425502079 
553	 0.198558876569739 
554	 0.198423294639972 
555	 0.198232615379853 
556	 0.198150788583657 
557	 0.19822281040137 
558	 0.198117939061039 
559	 0.198123736886658 
560	 0.198176248737513 
561	 0.198079567228199 
562	 0.198216337773551 
563	 0.198428626630026 
564	 0.198549191977942 
565	 0.198482098342243 
566	 0.198381483319276 
567	 0.198446426310322 
568	 0.198734445278065 
569	 0.198734490655724 
570	 0.198812795834795 
571	 0.198966804698993 
572	 0.198922090548493 
573	 0.198840783509555 
574	 0.198797357011258 
575	 0.198795989326264 
576	 0.198696564087522 
577	 0.198908541323852 
578	 0.19923253736137 
579	 0.199321425158478 
580	 0.199424764698814 
